Idea_ID	Idea_Number	Idea_Author_ID	Idea_Author_Department	Idea_Author_Title	Up_Down	Voter_ID	Voter_Department	Voter_Title	Timestamp
273718	9	247698	K?vTD	Manager	Up	247326	ÖUD	Manager	7/22/2017 23:26
273718	9	247698	K?vTD	Manager	Up	247331	SAvS?D	Software Analyst	7/21/2017 4:36
273718	9	247698	K?vTD	Manager	Up	247342	K?vTD	Software Analyst	7/19/2017 8:17
273718	9	247698	K?vTD	Manager	Up	247343	K?vTD	Software Analyst	7/12/2017 4:34
273718	9	247698	K?vTD	Manager	Down	247345	KÜGD	Software Analyst	7/24/2017 22:35
273718	9	247698	K?vTD	Manager	Up	247370	SAvS?D	Software Analyst	7/17/2017 7:24
273718	9	247698	K?vTD	Manager	Down	247371	MKDD	Solution Architect	7/11/2017 5:59
273718	9	247698	K?vTD	Manager	Up	247375	ÇKBD	Solution Architect	7/25/2017 1:45
273718	9	247698	K?vTD	Manager	Up	247385	ÜYvTUD	Software Architect	7/25/2017 1:43
273718	9	247698	K?vTD	Manager	Up	247400	Mobil ÖUD	Software Analyst	7/23/2017 23:05
273718	9	247698	K?vTD	Manager	Up	247407	MvMUD	Software Analyst	7/24/2017 8:08
273718	9	247698	K?vTD	Manager	Up	247410	FvKUD	Solution Architect	7/13/2017 22:43
273718	9	247698	K?vTD	Manager	Up	247424	K?vTD	Software Analyst	7/25/2017 0:09
273718	9	247698	K?vTD	Manager	Up	247436	K?vTD	Software Analyst	7/19/2017 6:18
273718	9	247698	K?vTD	Manager	Up	247468	MKDD	Solution Architect	7/17/2017 5:00
273718	9	247698	K?vTD	Manager	Up	247477	K?vTD	Software Analyst	7/25/2017 0:16
273718	9	247698	K?vTD	Manager	Up	247510	?vM?D	Administrative Affairs Superviser	7/24/2017 0:31
273718	9	247698	K?vTD	Manager	Up	247524	K?vTD	Solution Architect	7/13/2017 2:06
273718	9	247698	K?vTD	Manager	Up	247530	TBSPvKU?GD	Business Architect	7/11/2017 6:15
273718	9	247698	K?vTD	Manager	Up	247536	K?vTD	Software Analyst	7/13/2017 1:50
273718	9	247698	K?vTD	Manager	Up	247554	K?vTD	Software Analyst	7/14/2017 10:28
273718	9	247698	K?vTD	Manager	Up	247562	SPHvDTUD	Manager	7/24/2017 1:03
273718	9	247698	K?vTD	Manager	Up	247583	ÖUD	Software Analyst	7/24/2017 7:15
273718	9	247698	K?vTD	Manager	Up	247586	TBSPvKU?GD	Manager	7/25/2017 1:12
273718	9	247698	K?vTD	Manager	Up	247609	SPHvDTUD	Solution Architect	7/24/2017 7:17
273718	9	247698	K?vTD	Manager	Up	247642	MvMUD	Senior Solution Architect	7/24/2017 1:26
273718	9	247698	K?vTD	Manager	Up	247674	ÇKBD	Software Analyst	7/12/2017 4:15
273718	9	247698	K?vTD	Manager	Up	247682	K?vTD	Software Engineer	7/25/2017 1:05
273718	9	247698	K?vTD	Manager	Up	247698	K?vTD	Manager	7/11/2017 5:58
273718	9	247698	K?vTD	Manager	Up	247725	TBSPvKU?GD	Business Analyst	7/25/2017 0:10
273718	9	247698	K?vTD	Manager	Up	247736	FvKUD	Software Architect	7/24/2017 3:57
273718	9	247698	K?vTD	Manager	Up	247744	Ü?D	Software Architect	7/13/2017 23:25
273718	9	247698	K?vTD	Manager	Up	247754	K?vTD	Software Architect	7/13/2017 2:19
273718	9	247698	K?vTD	Manager	Up	247767	TvPYD	Program Manager	7/23/2017 12:45
273718	9	247698	K?vTD	Manager	Up	247789	SG	Solution Architect	7/13/2017 23:12
273718	9	247698	K?vTD	Manager	Up	247820	K?vTD	Software Engineer	7/23/2017 3:37
273718	9	247698	K?vTD	Manager	Up	247842	TBSPvKU?GD	Business Architect	7/20/2017 7:33
273718	9	247698	K?vTD	Manager	Up	247843	Ü?D	Software Analyst	7/13/2017 23:49
273718	9	247698	K?vTD	Manager	Up	247868	FvKUD	Director	7/13/2017 5:40
273718	9	247698	K?vTD	Manager	Up	247878	K?vTD	Software Analyst	7/13/2017 6:33
273718	9	247698	K?vTD	Manager	Up	247903	MKDD	Software Engineer	7/20/2017 7:27
273718	9	247698	K?vTD	Manager	Up	247904	ÇKBD	Manager	7/13/2017 8:24
273718	9	247698	K?vTD	Manager	Up	247916	K?vTD	Team Manager	7/14/2017 8:35
273718	9	247698	K?vTD	Manager	Up	247918	K?vTD	Software Engineer	7/25/2017 0:14
273718	9	247698	K?vTD	Manager	Up	247946	BH	Staff_Hosp	7/16/2017 23:34
273728	10	245728	?D	Software Architect	Up	245728	?D	Software Architect	7/11/2017 6:12
273728	10	245728	?D	Software Architect	Down	247125	SPHvDTUD	Software Architect	7/11/2017 6:15
273742	11	247287	Ü?D	Software Architect	Up	247120	SUD	Software Architect	7/13/2017 23:07
273742	11	247287	Ü?D	Software Architect	Down	247122	DH	Senior Advisor	7/11/2017 23:11
